"name","difficulty","complexity","blocking","delay","centrality","reachability","term_complexity","term_blocking","term_delay","term_centrality","term_reachability","free","edges","gradRate3","gradRate4","gradRate5","gradRate6","gradRate7","averageTTD"
"0.json","10.0","6","0","6","0","0","12","0","12","0","0","6","0","0.0","0.0","0.0","0.0","0.01","27.757"
"100.json","10.0","18","4","14","9","4","32","5","27","17","5","3","3","0.0","0.0","0.0","0.0","0.0","34.7658"
"101.json","10.0","22","6","16","14","6","38","8","30","28","8","3","4","0.0","0.0","0.0","0.0","0.0","38.2148"
"102.json","10.0","24","6","18","14","6","44","8","36","28","8","2","4","0.0","0.0","0.0","0.0","0.0","38.7084"
"103.json","10.0","26","8","18","19","8","47","11","36","39","11","2","5","0.0","0.0","0.0","0.0","0.0","40.3702"
"104.json","10.0","18","4","14","9","4","32","5","27","17","5","3","3","0.0","0.0","0.0","0.0","0.0","34.2946"
"105.json","10.0","24","6","18","14","6","44","8","36","28","8","2","4","0.0","0.0","0.0","0.0","0.0","39.0596"
"106.json","10.0","22","6","16","14","6","38","8","30","28","8","3","4","0.0","0.0","0.0","0.0","0.0","37.9692"
"107.json","10.0","26","8","18","19","8","47","11","36","39","11","2","5","0.0","0.0","0.0","0.0","0.0","40.6072"
"108.json","10.0","22","6","16","14","6","41","8","33","28","8","2","4","0.0","0.0","0.0","0.0","0.0","37.5514"
"109.json","10.0","26","8","18","19","8","47","11","36","39","11","2","5","0.0","0.0","0.0","0.0","0.0","40.9532"
"10.json","10.0","11","2","9","4","2","23","4","19","10","4","5","2","0.0","0.0","0.0","0.0","0.0","30.7174"
"110.json","10.0","26","8","18","19","8","47","11","36","39","11","2","5","0.0","0.0","0.0","0.0","0.0","40.2404"
"111.json","10.0","28","10","18","24","10","50","14","36","50","14","2","6","0.0","0.0","0.0","0.0","0.0","42.2162"
"112.json","10.0","13","3","10","6","3","21","3","18","9","3","4","3","0.0","0.0","0.0","0.0","0.0","30.6764"
"113.json","10.0","21","6","15","14","6","35","7","28","26","7","3","4","0.0","0.0","0.0","0.0","0.0","37.0658"
"114.json","10.0","21","6","15","14","6","35","7","28","26","7","3","4","0.0","0.0","0.0","0.0","0.0","37.198"
"115.json","10.0","26","9","17","22","9","45","11","34","43","11","2","5","0.0","0.0","0.0","0.0","0.0","40.2258"
"116.json","10.0","19","5","14","11","5","33","6","27","20","6","3","4","0.0","0.0","0.0","0.0","0.0","35.3526"
"117.json","10.0","23","7","16","17","7","39","9","30","33","9","3","5","0.0","0.0","0.0","0.0","0.0","38.9946"
"118.json","10.0","26","8","18","19","8","46","10","36","37","10","2","5","0.0","0.0","0.0","0.0","0.0","40.0958"
"119.json","10.0","28","10","18","25","10","49","13","36","50","13","2","6","0.0","0.0","0.0","0.0","0.0","42.2084"
"11.json","10.0","13","3","10","6","3","28","6","22","15","6","4","3","0.0","0.0","0.0","0.0","0.0","32.1388"
"120.json","10.0","19","5","14","11","5","33","6","27","20","6","3","4","0.0","0.0","0.0","0.0","0.0","35.0056"
"121.json","10.0","26","8","18","19","8","46","10","36","37","10","2","5","0.0","0.0","0.0","0.0","0.0","40.6096"
"122.json","10.0","23","7","16","17","7","39","9","30","33","9","3","5","0.0","0.0","0.0","0.0","0.0","38.225"
"123.json","10.0","28","10","18","25","10","49","13","36","50","13","2","6","0.0","0.0","0.0","0.0","0.0","42.5444"
"124.json","10.0","23","7","16","16","7","42","9","33","31","9","2","5","0.0","0.0","0.0","0.0","0.0","37.7932"
"125.json","10.0","27","9","18","22","9","48","12","36","44","12","2","6","0.0","0.0","0.0","0.0","0.0","41.254"
"126.json","10.0","27","9","18","22","9","48","12","36","44","12","2","6","0.0","0.0","0.0","0.0","0.0","41.2066"
"127.json","10.0","29","11","18","28","11","51","15","36","57","15","2","7","0.0","0.0","0.0","0.0","0.0","42.7288"
"128.json","10.0","9","1","8","2","1","16","1","15","3","1","5","1","0.0","0.0","0.0","0.0","0.0","28.9302"
"129.json","10.0","12","2","10","4","2","23","3","20","8","3","4","2","0.0","0.0","0.0","0.0","0.0","30.213827760000004"
"12.json","10.0","11","2","9","4","2","24","4","20","10","4","4","2","0.0","0.0","0.0","0.0","0.01","30.0548"
"130.json","10.0","12","2","10","4","2","23","3","20","8","3","4","2","0.0","0.0","0.0","0.0","0.01","29.9554"
"131.json","10.0","14","3","11","6","3","28","5","23","13","5","3","3","0.0","0.0","0.0","0.0","0.0","31.7532"
"132.json","10.0","15","3","12","7","3","28","4","24","14","4","4","2","0.0","0.0","0.0","0.0","0.0","33.4076"
"133.json","10.0","17","4","13","9","4","32","6","26","19","6","4","3","0.0","0.0","0.0","0.0","0.0","34.6438"
"134.json","10.0","18","4","14","9","4","35","6","29","19","6","3","3","0.0","0.0","0.0","0.0","0.0","34.81"
"135.json","10.0","19","5","14","11","5","37","8","29","24","8","3","4","0.0","0.0","0.0","0.0","0.0","35.641"
"136.json","10.0","15","3","12","7","3","28","4","24","14","4","4","2","0.0","0.0","0.0","0.0","0.0","33.6734"
"137.json","10.0","18","4","14","9","4","35","6","29","19","6","3","3","0.0","0.0","0.0","0.0","0.0","34.5956"
"138.json","10.0","17","4","13","9","4","32","6","26","19","6","4","3","0.0","0.0","0.0","0.0","0.0","34.1712"
"139.json","10.0","19","5","14","11","5","37","8","29","24","8","3","4","0.0","0.0","0.0","0.0","0.0","35.464"
"13.json","10.0","13","3","10","6","3","28","6","22","15","6","4","3","0.0","0.0","0.0","0.0","0.0","31.4712"
"140.json","10.0","19","5","14","12","5","37","7","30","25","7","3","3","0.0","0.0","0.0","0.0","0.0","36.2556"
"141.json","10.0","21","6","15","14","6","41","9","32","30","9","3","4","0.0","0.0","0.0","0.0","0.0","37.0496"
"142.json","10.0","21","6","15","14","6","41","9","32","30","9","3","4","0.0","0.0","0.0","0.0","0.0","36.8586"
"143.json","10.0","22","7","15","16","7","43","11","32","35","11","3","5","0.0","0.0","0.0","0.0","0.0","37.91"
"144.json","10.0","12","2","10","4","2","20","2","18","6","2","4","2","0.0","0.0","0.0","0.0","0.0","29.913"
"145.json","10.0","18","4","14","9","4","32","5","27","17","5","3","3","0.0","0.0","0.0","0.0","0.0","34.9404"
"146.json","10.0","18","4","14","9","4","32","5","27","17","5","3","3","0.0","0.0","0.0","0.0","0.0","35.0352"
"147.json","10.0","22","6","16","14","6","41","8","33","28","8","2","4","0.0","0.0","0.0","0.0","0.0","37.8568"
"148.json","10.0","18","4","14","9","4","32","5","27","17","5","3","3","0.0","0.0","0.0","0.0","0.0","34.6808"
"149.json","10.0","22","6","16","14","6","38","8","30","28","8","3","4","0.0","0.0","0.0","0.0","0.0","37.625782"
"14.json","10.0","13","3","10","6","3","28","6","22","15","6","4","3","0.0","0.0","0.0","0.0","0.0","31.3943826"
"150.json","10.0","24","6","18","14","6","44","8","36","28","8","2","4","0.0","0.0","0.0","0.0","0.0","39.1098"
"151.json","10.0","26","8","18","19","8","47","11","36","39","11","2","5","0.0","0.0","0.0","0.0","0.0","40.454"
"152.json","10.0","18","4","14","9","4","32","5","27","17","5","3","3","0.0","0.0","0.0","0.0","0.0","34.872136160000004"
"153.json","10.0","24","6","18","14","6","44","8","36","28","8","2","4","0.0","0.0","0.0","0.0","0.0","38.6864"
"154.json","10.0","22","6","16","14","6","38","8","30","28","8","3","4","0.0","0.0","0.0","0.0","0.0","37.4816"
"155.json","10.0","26","8","18","19","8","47","11","36","39","11","2","5","0.0","0.0","0.0","0.0","0.0","40.4082"
"156.json","10.0","22","6","16","14","6","41","8","33","28","8","2","4","0.0","0.0","0.0","0.0","0.0","37.7234"
"157.json","10.0","26","8","18","19","8","47","11","36","39","11","2","5","0.0","0.0","0.0","0.0","0.0","40.82637136"
"158.json","10.0","26","8","18","19","8","47","11","36","39","11","2","5","0.0","0.0","0.0","0.0","0.0","40.4846"
"159.json","10.0","28","10","18","24","10","50","14","36","50","14","2","6","0.0","0.0","0.0","0.0","0.0","41.303"
"15.json","10.0","14","4","10","8","4","30","8","22","20","8","4","4","0.0","0.0","0.0","0.0","0.0","33.0162"
"160.json","10.0","11","2","9","4","2","18","2","16","6","2","5","2","0.0","0.0","0.0","0.0","0.0","30.0032"
"161.json","10.0","14","3","11","6","3","25","4","21","11","4","4","3","0.0","0.0","0.0","0.0","0.0","31.4836"
"162.json","10.0","14","3","11","6","3","25","4","21","11","4","4","3","0.0","0.0","0.0","0.0","0.0","31.3702"
"163.json","10.0","16","4","12","8","4","30","6","24","16","6","3","4","0.0","0.0","0.0","0.0","0.0","32.5146"
"164.json","10.0","19","5","14","12","5","32","6","26","23","6","4","3","0.0","0.0","0.0","0.0","0.0","36.37669632"
"165.json","10.0","21","6","15","14","6","36","8","28","28","8","4","4","0.0","0.0","0.0","0.0","0.0","36.9296"
"166.json","10.0","22","6","16","14","6","39","8","31","28","8","3","4","0.0","0.0","0.0","0.0","0.0","37.443"
"167.json","10.0","23","7","16","16","7","41","10","31","33","10","3","5","0.0","0.0","0.0","0.0","0.0","38.0448"
"168.json","10.0","19","5","14","12","5","32","6","26","23","6","4","3","0.0","0.0","0.0","0.0","0.0","35.7114"
"169.json","10.0","22","6","16","14","6","39","8","31","28","8","3","4","0.0","0.0","0.0","0.0","0.0","37.636"
"16.json","10.0","9","1","8","2","1","16","1","15","3","1","5","1","0.0","0.0","0.0","0.0","0.0","29.2268"
"170.json","10.0","21","6","15","14","6","36","8","28","28","8","4","4","0.0","0.0","0.0","0.0","0.0","37.2874"
"171.json","10.0","23","7","16","16","7","41","10","31","33","10","3","5","0.0","0.0","0.0","0.0","0.0","38.5146"
"172.json","10.0","24","8","16","20","8","42","10","32","40","10","3","4","0.0","0.0","0.0","0.0","0.0","39.9602"
"173.json","10.0","26","9","17","22","9","46","12","34","45","12","3","5","0.0","0.0","0.0","0.0","0.0","40.7278"
"174.json","10.0","26","9","17","22","9","46","12","34","45","12","3","5","0.0","0.0","0.0","0.0","0.0","40.4688"
"175.json","10.0","27","10","17","24","10","48","14","34","50","14","3","6","0.0","0.0","0.0","0.0","0.0","40.7996"
"176.json","10.0","13","3","10","6","3","21","3","18","9","3","4","3","0.0","0.0","0.0","0.0","0.01","31.0468"
"177.json","10.0","19","5","14","11","5","33","6","27","20","6","3","4","0.0","0.0","0.0","0.0","0.0","35.0386"
"178.json","10.0","19","5","14","11","5","33","6","27","20","6","3","4","0.0","0.0","0.0","0.0","0.0","35.1674"
"179.json","10.0","23","7","16","16","7","42","9","33","31","9","2","5","0.0","0.0","0.0","0.0","0.0","37.8474"
"17.json","10.0","15","3","12","7","3","28","4","24","14","4","4","2","0.0","0.0","0.0","0.0","0.0","33.3222"
"180.json","10.0","21","6","15","14","6","35","7","28","26","7","3","4","0.0","0.0","0.0","0.0","0.0","36.89725748"
"181.json","10.0","23","7","16","17","7","39","9","30","33","9","3","5","0.0","0.0","0.0","0.0","0.0","38.8246"
"182.json","10.0","26","8","18","19","8","46","10","36","37","10","2","5","0.0","0.0","0.0","0.0","0.0","40.1462"
"183.json","10.0","27","9","18","22","9","48","12","36","44","12","2","6","0.0","0.0","0.0","0.0","0.0","41.7844"
"184.json","10.0","21","6","15","14","6","35","7","28","26","7","3","4","0.0","0.0","0.0","0.0","0.0","36.9768"
"185.json","10.0","26","8","18","19","8","46","10","36","37","10","2","5","0.0","0.0","0.0","0.0","0.0","40.5328"
"186.json","10.0","23","7","16","17","7","39","9","30","33","9","3","5","0.0","0.0","0.0","0.0","0.0","38.8308"
"187.json","10.0","27","9","18","22","9","48","12","36","44","12","2","6","0.0","0.0","0.0","0.0","0.0","40.8714"
"188.json","10.0","26","9","17","22","9","45","11","34","43","11","2","5","0.0","0.0","0.0","0.0","0.0","41.2426"
"189.json","10.0","28","10","18","25","10","49","13","36","50","13","2","6","0.0","0.0","0.0","0.0","0.0","42.273"
"18.json","10.0","15","3","12","7","3","28","4","24","14","4","4","2","0.0","0.0","0.0","0.0","0.0","33.1896"
"190.json","10.0","28","10","18","25","10","49","13","36","50","13","2","6","0.0","0.0","0.0","0.0","0.0","42.313"
"191.json","10.0","29","11","18","28","11","51","15","36","57","15","2","7","0.0","0.0","0.0","0.0","0.0","42.7766"
"192.json","10.0","11","2","9","4","2","19","2","17","6","2","4","2","0.0","0.0","0.0","0.0","0.01","30.3518"
"193.json","10.0","17","4","13","9","4","31","5","26","17","5","3","3","0.0","0.0","0.0","0.0","0.0","34.0776"
"194.json","10.0","17","4","13","9","4","31","5","26","17","5","3","3","0.0","0.0","0.0","0.0","0.0","33.895"
"195.json","10.0","21","6","15","14","6","40","8","32","28","8","2","4","0.0","0.0","0.0","0.0","0.0","36.792"
"196.json","10.0","17","4","13","9","4","31","5","26","17","5","3","3","0.0","0.0","0.0","0.0","0.0","34.2288"
"197.json","10.0","19","5","14","12","5","35","7","28","24","7","3","4","0.0","0.0","0.0","0.0","0.0","36.472"
"198.json","10.0","22","6","16","14","6","42","8","34","28","8","2","4","0.0","0.0","0.0","0.0","0.0","37.80037172"
"199.json","10.0","23","7","16","17","7","44","10","34","35","10","2","5","0.0","0.0","0.0","0.0","0.0","38.8174"
"19.json","10.0","19","5","14","12","5","37","7","30","25","7","3","3","0.0","0.0","0.0","0.0","0.0","35.9598"
"1.json","10.0","9","1","8","2","1","19","2","17","5","2","5","1","0.0","0.0","0.0","0.0","0.01","30.222"
"200.json","10.0","17","4","13","9","4","31","5","26","17","5","3","3","0.0","0.0","0.0","0.0","0.0","34.1812"
"201.json","10.0","22","6","16","14","6","42","8","34","28","8","2","4","0.0","0.0","0.0","0.0","0.0","37.543"
"202.json","10.0","19","5","14","12","5","35","7","28","24","7","3","4","0.0","0.0","0.0","0.0","0.0","36.143"
"203.json","10.0","23","7","16","17","7","44","10","34","35","10","2","5","0.0","0.0","0.0","0.0","0.0","39.25149376"
"204.json","10.0","21","6","15","14","6","40","8","32","28","8","2","4","0.0","0.0","0.0","0.0","0.0","36.9598"
"205.json","10.0","23","7","16","17","7","44","10","34","35","10","2","5","0.0","0.0","0.0","0.0","0.0","38.312"
"206.json","10.0","23","7","16","17","7","44","10","34","35","10","2","5","0.0","0.0","0.0","0.0","0.0","38.891"
"207.json","10.0","24","8","16","20","8","46","12","34","42","12","2","6","0.0","0.0","0.0","0.0","0.0","40.4204"
"208.json","10.0","13","3","10","6","3","21","3","18","9","3","4","3","0.0","0.0","0.0","0.0","0.0","30.952"
"209.json","10.0","21","6","15","14","6","35","7","28","26","7","3","4","0.0","0.0","0.0","0.0","0.0","36.8844"
"20.json","10.0","12","2","10","4","2","23","3","20","8","3","4","2","0.0","0.0","0.0","0.0","0.0","30.17"
"210.json","10.0","21","6","15","14","6","35","7","28","26","7","3","4","0.0","0.0","0.0","0.0","0.0","37.2326"
"211.json","10.0","26","9","17","22","9","45","11","34","43","11","2","5","0.0","0.0","0.0","0.0","0.0","40.6276"
"212.json","10.0","19","5","14","11","5","33","6","27","20","6","3","4","0.0","0.0","0.0","0.0","0.0","35.2872"
"213.json","10.0","23","7","16","17","7","39","9","30","33","9","3","5","0.0","0.0","0.0","0.0","0.0","38.9898"
