"name","difficulty","complexity","blocking","delay","centrality","reachability","term_complexity","term_blocking","term_delay","term_centrality","term_reachability","free","edges","gradRate3","gradRate4","gradRate5","gradRate6","gradRate7","averageTTD"
"0.json","27.5","6","0","6","0","0","12","0","12","0","0","6","0","0.01","0.04","0.1","0.2","0.31","9.7958"
"100.json","27.5","18","4","14","9","4","32","5","27","17","5","3","3","0.0","0.01","0.04","0.09","0.17","12.172"
"101.json","27.5","22","6","16","14","6","38","8","30","28","8","3","4","0.0","0.01","0.03","0.07","0.11","13.48"
"102.json","27.5","24","6","18","14","6","44","8","36","28","8","2","4","0.0","0.0","0.02","0.04","0.09","13.7822"
"103.json","27.5","26","8","18","19","8","47","11","36","39","11","2","5","0.0","0.0","0.02","0.04","0.08","14.1256"
"104.json","27.5","18","4","14","9","4","32","5","27","17","5","3","3","0.0","0.02","0.04","0.09","0.16","12.2888"
"105.json","27.5","24","6","18","14","6","44","8","36","28","8","2","4","0.0","0.0","0.02","0.05","0.1","13.7454"
"106.json","27.5","22","6","16","14","6","38","8","30","28","8","3","4","0.0","0.01","0.03","0.06","0.11","13.45"
"107.json","27.5","26","8","18","19","8","47","11","36","39","11","2","5","0.0","0.0","0.02","0.04","0.08","14.2652"
"108.json","27.5","22","6","16","14","6","41","8","33","28","8","2","4","0.0","0.01","0.02","0.06","0.12","13.3728"
"109.json","27.5","26","8","18","19","8","47","11","36","39","11","2","5","0.0","0.0","0.01","0.04","0.08","14.1768"
"10.json","27.5","11","2","9","4","2","23","4","19","10","4","5","2","0.0","0.02","0.07","0.14","0.23","10.9018"
"110.json","27.5","26","8","18","19","8","47","11","36","39","11","2","5","0.0","0.0","0.01","0.04","0.08","14.2902"
"111.json","27.5","28","10","18","24","10","50","14","36","50","14","2","6","0.0","0.0","0.01","0.03","0.06","14.8272"
"112.json","27.5","13","3","10","6","3","21","3","18","9","3","4","3","0.01","0.03","0.08","0.14","0.23","10.9812"
"113.json","27.5","21","6","15","14","6","35","7","28","26","7","3","4","0.0","0.01","0.03","0.07","0.13","13.08315644"
"114.json","27.5","21","6","15","14","6","35","7","28","26","7","3","4","0.0","0.01","0.04","0.08","0.14","13.0736"
"115.json","27.5","26","9","17","22","9","45","11","34","43","11","2","5","0.0","0.0","0.02","0.04","0.08","14.17"
"116.json","27.5","19","5","14","11","5","33","6","27","20","6","3","4","0.0","0.01","0.04","0.09","0.15","12.4216"
"117.json","27.5","23","7","16","17","7","39","9","30","33","9","3","5","0.0","0.01","0.02","0.06","0.11","13.669"
"118.json","27.5","26","8","18","19","8","46","10","36","37","10","2","5","0.0","0.0","0.02","0.04","0.08","14.2106"
"119.json","27.5","28","10","18","25","10","49","13","36","50","13","2","6","0.0","0.01","0.02","0.03","0.07","14.7398"
"11.json","27.5","13","3","10","6","3","28","6","22","15","6","4","3","0.0","0.02","0.05","0.12","0.2","11.4554"
"120.json","27.5","19","5","14","11","5","33","6","27","20","6","3","4","0.0","0.02","0.04","0.09","0.16","12.381"
"121.json","27.5","26","8","18","19","8","46","10","36","37","10","2","5","0.0","0.0","0.02","0.04","0.08","14.25"
"122.json","27.5","23","7","16","17","7","39","9","30","33","9","3","5","0.0","0.01","0.02","0.05","0.1","13.7528"
"123.json","27.5","28","10","18","25","10","49","13","36","50","13","2","6","0.0","0.0","0.01","0.04","0.07","14.8406"
"124.json","27.5","23","7","16","16","7","42","9","33","31","9","2","5","0.0","0.01","0.03","0.06","0.11","13.4716"
"125.json","27.5","27","9","18","22","9","48","12","36","44","12","2","6","0.0","0.0","0.01","0.04","0.08","14.4424"
"126.json","27.5","27","9","18","22","9","48","12","36","44","12","2","6","0.0","0.0","0.01","0.03","0.07","14.5128"
"127.json","27.5","29","11","18","28","11","51","15","36","57","15","2","7","0.0","0.0","0.01","0.03","0.06","15.1304"
"128.json","27.5","9","1","8","2","1","16","1","15","3","1","5","1","0.01","0.04","0.1","0.18","0.29","10.1794"
"129.json","27.5","12","2","10","4","2","23","3","20","8","3","4","2","0.01","0.04","0.09","0.16","0.25","10.533"
"12.json","27.5","11","2","9","4","2","24","4","20","10","4","4","2","0.01","0.03","0.09","0.17","0.27","10.5514"
"130.json","27.5","12","2","10","4","2","23","3","20","8","3","4","2","0.01","0.03","0.08","0.16","0.26","10.6644"
"131.json","27.5","14","3","11","6","3","28","5","23","13","5","3","3","0.01","0.03","0.08","0.15","0.24","10.8814"
"132.json","27.5","15","3","12","7","3","28","4","24","14","4","4","2","0.0","0.02","0.05","0.11","0.19","11.9042"
"133.json","27.5","17","4","13","9","4","32","6","26","19","6","4","3","0.0","0.01","0.04","0.1","0.17","12.0926"
"134.json","27.5","18","4","14","9","4","35","6","29","19","6","3","3","0.0","0.01","0.04","0.09","0.15","12.4582"
"135.json","27.5","19","5","14","11","5","37","8","29","24","8","3","4","0.0","0.01","0.04","0.09","0.16","12.3286"
"136.json","27.5","15","3","12","7","3","28","4","24","14","4","4","2","0.0","0.02","0.06","0.11","0.19","11.8114"
"137.json","27.5","18","4","14","9","4","35","6","29","19","6","3","3","0.0","0.01","0.04","0.09","0.16","12.373"
"138.json","27.5","17","4","13","9","4","32","6","26","19","6","4","3","0.0","0.02","0.05","0.1","0.17","12.1196"
"139.json","27.5","19","5","14","11","5","37","8","29","24","8","3","4","0.0","0.01","0.04","0.09","0.16","12.3094"
"13.json","27.5","13","3","10","6","3","28","6","22","15","6","4","3","0.01","0.02","0.07","0.13","0.22","11.2122"
"140.json","27.5","19","5","14","12","5","37","7","30","25","7","3","3","0.0","0.01","0.04","0.09","0.14","12.819414720000001"
"141.json","27.5","21","6","15","14","6","41","9","32","30","9","3","4","0.0","0.01","0.03","0.07","0.13","13.0218"
"142.json","27.5","21","6","15","14","6","41","9","32","30","9","3","4","0.0","0.01","0.04","0.08","0.14","12.9592"
"143.json","27.5","22","7","15","16","7","43","11","32","35","11","3","5","0.0","0.01","0.03","0.07","0.12","13.1988"
"144.json","27.5","12","2","10","4","2","20","2","18","6","2","4","2","0.01","0.04","0.09","0.17","0.27","10.4336"
"145.json","27.5","18","4","14","9","4","32","5","27","17","5","3","3","0.0","0.02","0.04","0.09","0.16","12.32046572"
"146.json","27.5","18","4","14","9","4","32","5","27","17","5","3","3","0.0","0.01","0.04","0.09","0.16","12.2726"
"147.json","27.5","22","6","16","14","6","41","8","33","28","8","2","4","0.0","0.01","0.03","0.06","0.11","13.39700436"
"148.json","27.5","18","4","14","9","4","32","5","27","17","5","3","3","0.0","0.01","0.04","0.1","0.17","12.3556"
"149.json","27.5","22","6","16","14","6","38","8","30","28","8","3","4","0.0","0.01","0.03","0.06","0.11","13.4116"
"14.json","27.5","13","3","10","6","3","28","6","22","15","6","4","3","0.0","0.02","0.07","0.14","0.22","11.2726"
"150.json","27.5","24","6","18","14","6","44","8","36","28","8","2","4","0.0","0.01","0.02","0.05","0.09","13.865016631288"
"151.json","27.5","26","8","18","19","8","47","11","36","39","11","2","5","0.0","0.0","0.02","0.04","0.08","14.28302512"
"152.json","27.5","18","4","14","9","4","32","5","27","17","5","3","3","0.0","0.01","0.04","0.09","0.16","12.2748"
"153.json","27.5","24","6","18","14","6","44","8","36","28","8","2","4","0.0","0.0","0.02","0.04","0.09","13.7364"
"154.json","27.5","22","6","16","14","6","38","8","30","28","8","3","4","0.0","0.01","0.03","0.06","0.11","13.3686"
"155.json","27.5","26","8","18","19","8","47","11","36","39","11","2","5","0.0","0.0","0.01","0.04","0.08","14.2736"
"156.json","27.5","22","6","16","14","6","41","8","33","28","8","2","4","0.0","0.01","0.03","0.06","0.12","13.28307456"
"157.json","27.5","26","8","18","19","8","47","11","36","39","11","2","5","0.0","0.0","0.01","0.04","0.08","14.460035360000001"
"158.json","27.5","26","8","18","19","8","47","11","36","39","11","2","5","0.0","0.01","0.02","0.04","0.08","14.3144"
"159.json","27.5","28","10","18","24","10","50","14","36","50","14","2","6","0.0","0.0","0.01","0.03","0.07","14.6218"
"15.json","27.5","14","4","10","8","4","30","8","22","20","8","4","4","0.0","0.02","0.05","0.11","0.19","11.574"
"160.json","27.5","11","2","9","4","2","18","2","16","6","2","5","2","0.01","0.03","0.09","0.16","0.27","10.5846"
"161.json","27.5","14","3","11","6","3","25","4","21","11","4","4","3","0.01","0.03","0.07","0.14","0.22","11.133710279999999"
"162.json","27.5","14","3","11","6","3","25","4","21","11","4","4","3","0.01","0.03","0.07","0.15","0.23","11.021332880000001"
"163.json","27.5","16","4","12","8","4","30","6","24","16","6","3","4","0.01","0.02","0.07","0.13","0.21","11.4532"
"164.json","27.5","19","5","14","12","5","32","6","26","23","6","4","3","0.0","0.01","0.03","0.08","0.15","12.872"
"165.json","27.5","21","6","15","14","6","36","8","28","28","8","4","4","0.0","0.01","0.03","0.07","0.13","13.0748"
"166.json","27.5","22","6","16","14","6","39","8","31","28","8","3","4","0.0","0.01","0.02","0.05","0.1","13.434"
"167.json","27.5","23","7","16","16","7","41","10","31","33","10","3","5","0.0","0.01","0.03","0.06","0.11","13.481056614912"
"168.json","27.5","19","5","14","12","5","32","6","26","23","6","4","3","0.0","0.01","0.03","0.08","0.14","12.7726"
"169.json","27.5","22","6","16","14","6","39","8","31","28","8","3","4","0.0","0.01","0.03","0.07","0.12","13.0858"
"16.json","27.5","9","1","8","2","1","16","1","15","3","1","5","1","0.01","0.04","0.09","0.18","0.28","10.3026"
"170.json","27.5","21","6","15","14","6","36","8","28","28","8","4","4","0.0","0.01","0.02","0.06","0.12","13.1726"
"171.json","27.5","23","7","16","16","7","41","10","31","33","10","3","5","0.0","0.01","0.02","0.06","0.11","13.502896211322982"
"172.json","27.5","24","8","16","20","8","42","10","32","40","10","3","4","0.0","0.01","0.02","0.05","0.09","14.1324"
"173.json","27.5","26","9","17","22","9","46","12","34","45","12","3","5","0.0","0.01","0.02","0.05","0.08","14.3096"
"174.json","27.5","26","9","17","22","9","46","12","34","45","12","3","5","0.0","0.01","0.02","0.05","0.09","14.2718"
"175.json","27.5","27","10","17","24","10","48","14","34","50","14","3","6","0.0","0.01","0.02","0.05","0.08","14.255"
"176.json","27.5","13","3","10","6","3","21","3","18","9","3","4","3","0.01","0.03","0.08","0.15","0.24","10.8782"
"177.json","27.5","19","5","14","11","5","33","6","27","20","6","3","4","0.0","0.01","0.04","0.08","0.15","12.5148"
"178.json","27.5","19","5","14","11","5","33","6","27","20","6","3","4","0.0","0.01","0.04","0.09","0.15","12.47865452"
"179.json","27.5","23","7","16","16","7","42","9","33","31","9","2","5","0.0","0.01","0.03","0.07","0.12","13.2354"
"17.json","27.5","15","3","12","7","3","28","4","24","14","4","4","2","0.0","0.02","0.05","0.12","0.19","11.8674"
"180.json","27.5","21","6","15","14","6","35","7","28","26","7","3","4","0.0","0.01","0.04","0.07","0.13","13.0446"
"181.json","27.5","23","7","16","17","7","39","9","30","33","9","3","5","0.0","0.0","0.02","0.05","0.1","13.8168"
"182.json","27.5","26","8","18","19","8","46","10","36","37","10","2","5","0.0","0.0","0.02","0.04","0.08","14.3606"
"183.json","27.5","27","9","18","22","9","48","12","36","44","12","2","6","0.0","0.0","0.02","0.04","0.08","14.5868"
"184.json","27.5","21","6","15","14","6","35","7","28","26","7","3","4","0.0","0.01","0.03","0.07","0.13","13.1322"
"185.json","27.5","26","8","18","19","8","46","10","36","37","10","2","5","0.0","0.0","0.01","0.04","0.07","14.2752"
"186.json","27.5","23","7","16","17","7","39","9","30","33","9","3","5","0.0","0.01","0.02","0.06","0.11","13.6194"
"187.json","27.5","27","9","18","22","9","48","12","36","44","12","2","6","0.0","0.0","0.01","0.03","0.07","14.5888"
"188.json","27.5","26","9","17","22","9","45","11","34","43","11","2","5","0.0","0.01","0.02","0.04","0.08","14.3474"
"189.json","27.5","28","10","18","25","10","49","13","36","50","13","2","6","0.0","0.0","0.01","0.03","0.06","14.7388"
"18.json","27.5","15","3","12","7","3","28","4","24","14","4","4","2","0.0","0.02","0.06","0.11","0.19","11.9462"
"190.json","27.5","28","10","18","25","10","49","13","36","50","13","2","6","0.0","0.0","0.02","0.04","0.07","14.6942"
"191.json","27.5","29","11","18","28","11","51","15","36","57","15","2","7","0.0","0.0","0.01","0.03","0.06","15.1702"
"192.json","27.5","11","2","9","4","2","19","2","17","6","2","4","2","0.01","0.04","0.1","0.18","0.27","10.4858"
"193.json","27.5","17","4","13","9","4","31","5","26","17","5","3","3","0.0","0.02","0.05","0.11","0.18","12.131102960000002"
"194.json","27.5","17","4","13","9","4","31","5","26","17","5","3","3","0.0","0.02","0.05","0.11","0.18","11.982695730904"
"195.json","27.5","21","6","15","14","6","40","8","32","28","8","2","4","0.0","0.01","0.03","0.08","0.13","13.0622"
"196.json","27.5","17","4","13","9","4","31","5","26","17","5","3","3","0.0","0.02","0.05","0.1","0.18","12.1258"
"197.json","27.5","19","5","14","12","5","35","7","28","24","7","3","4","0.0","0.01","0.04","0.08","0.14","12.8622"
"198.json","27.5","22","6","16","14","6","42","8","34","28","8","2","4","0.0","0.01","0.03","0.06","0.12","13.4584"
"199.json","27.5","23","7","16","17","7","44","10","34","35","10","2","5","0.0","0.01","0.03","0.05","0.1","13.8942"
"19.json","27.5","19","5","14","12","5","37","7","30","25","7","3","3","0.0","0.01","0.04","0.09","0.15","12.8188"
"1.json","27.5","9","1","8","2","1","19","2","17","5","2","5","1","0.0","0.03","0.08","0.16","0.26","10.5638"
"200.json","27.5","17","4","13","9","4","31","5","26","17","5","3","3","0.01","0.02","0.06","0.11","0.18","11.9704"
"201.json","27.5","22","6","16","14","6","42","8","34","28","8","2","4","0.0","0.01","0.03","0.06","0.11","13.3834"
"202.json","27.5","19","5","14","12","5","35","7","28","24","7","3","4","0.0","0.01","0.04","0.08","0.14","12.8794"
"203.json","27.5","23","7","16","17","7","44","10","34","35","10","2","5","0.0","0.01","0.02","0.06","0.11","13.594"
"204.json","27.5","21","6","15","14","6","40","8","32","28","8","2","4","0.0","0.01","0.03","0.07","0.12","13.1378"
"205.json","27.5","23","7","16","17","7","44","10","34","35","10","2","5","0.0","0.01","0.02","0.05","0.1","13.768"
"206.json","27.5","23","7","16","17","7","44","10","34","35","10","2","5","0.0","0.01","0.03","0.06","0.11","13.5696"
"207.json","27.5","24","8","16","20","8","46","12","34","42","12","2","6","0.0","0.01","0.02","0.05","0.1","14.1626"
"208.json","27.5","13","3","10","6","3","21","3","18","9","3","4","3","0.01","0.03","0.08","0.15","0.25","10.847"
"209.json","27.5","21","6","15","14","6","35","7","28","26","7","3","4","0.0","0.01","0.03","0.07","0.13","13.07936376"
"20.json","27.5","12","2","10","4","2","23","3","20","8","3","4","2","0.01","0.03","0.08","0.16","0.26","10.733004266576"
"210.json","27.5","21","6","15","14","6","35","7","28","26","7","3","4","0.0","0.01","0.03","0.08","0.14","13.0092"
"211.json","27.5","26","9","17","22","9","45","11","34","43","11","2","5","0.0","0.01","0.02","0.05","0.09","14.3226"
"212.json","27.5","19","5","14","11","5","33","6","27","20","6","3","4","0.0","0.01","0.04","0.09","0.16","12.3716"
"213.json","27.5","23","7","16","17","7","39","9","30","33","9","3","5","0.0","0.01","0.03","0.06","0.1","13.7384"
