"combinations","n","pMax","pAvg","r2","rse1","rse2"
"complexity","1","4.244646523225243e-6","2.1223232616126216e-6","0.37009051115166114","0.4767573411530641","0.4835201944182804"
"blocking","1","6.644998320007017e-8","3.3224991600035084e-8","0.44756093829288623","0.44647845152231","0.45281179553841605"
"delay","1","8.615599347280906e-5","4.307799673640453e-5","0.2998583632364151","0.502633310265825","0.5097632168873287"
"inverseBlocking","1","6.644998320007017e-8","3.3224991600035084e-8","0.44756093829288623","0.44647845152231","0.45281179553841605"
"centrality","1","9.059261926766821e-9","4.529630963383411e-9","0.4785127445116042","0.43379062654792805","0.43994399242599647"
"creditHours","1","0.4647457694882892","0.2323728848534198","0.5281371864161166","0.41263512152998816","0.41848839433378565"
"free","1","0.00355361838204102","0.00177680919102051","0.19099118337762522","0.5402999671183588","0.5479641792477102"
"timeComp1","1","2.629113017841138e-6","1.314556508920569e-6","0.3800565988803619","0.47297080572869926","0.47967994658878177"
"complexity,inverseBlocking","2","0.0009051505511552308","0.00031147362808840414","0.5797772126153933","0.3949256499803349","0.4006912929159265"
"complexity,centrality","2","0.3153921807848822","0.10631822266101291","0.4931105731944311","0.4337426796577095","0.44007502453568226"
"complexity,creditHours","2","0.08655168270325388","0.028850611565360475","0.7360266892551337","0.3130080822448005","0.3175777850186458"
"complexity,free","2","0.3717646987665565","0.12422923559050902","0.38412812216321657","0.4781021853736907","0.4850821485331562"
"blocking,delay","2","0.0009051505511552836","0.0003021754511851071","0.5797772126153926","0.3949256499803352","0.4006912929159267"
"blocking,centrality","2","0.9748055578492648","0.3747337670847148","0.478527605135048","0.4399377239232514","0.4463605121877377"
"blocking,creditHours","2","0.023196335495501326","0.007732111999990905","0.7758007670309593","0.2884646521629857","0.29267603773390066"
"blocking,free","2","0.6429513180561179","0.2143327366985536","0.4509322614462866","0.4514280130046661","0.4580185515889239"
"delay,inverseBlocking","2","0.0009051505511553874","0.0003021754511851417","0.5797772126153932","0.3949256499803349","0.4006912929159265"
"delay,centrality","2","0.1504379504692722","0.05018653798555702","0.5076035879374821","0.42749691189569733","0.43373807285898586"
"delay,creditHours","2","0.18433862641429444","0.06144879492887517","0.6997046091029607","0.33384884283006605","0.33872280637817803"
"delay,free","2","0.20456297999825096","0.07048356864499358","0.33063927475227595","0.4984316998243151","0.5057084599160185"
"inverseBlocking,centrality","2","0.9748055578492648","0.3747337670847148","0.478527605135048","0.4399377239232514","0.4463605121877377"
"inverseBlocking,creditHours","2","0.023196335495501326","0.007732111999990905","0.7758007670309593","0.2884646521629857","0.29267603773390066"
"inverseBlocking,free","2","0.6429513180561179","0.2143327366985536","0.4509322614462866","0.4514280130046661","0.4580185515889239"
"inverseBlocking,timeComp1","2","0.09252102212171931","0.032951930851822374","0.48888737027462215","0.4355458182144643","0.44190448767551277"
"centrality,creditHours","2","0.011899718313220124","0.003966572771076031","0.8268024445092832","0.2535399620945695","0.2572414712049894"
"centrality,free","2","0.5455086355853447","0.18183898340166516","0.4839011853773766","0.4376651564703891","0.4440547668126996"
"centrality,timeComp1","2","0.31515564493659604","0.10678631559670905","0.4931244503374296","0.43373674231706993","0.44006900051395187"
"creditHours,free","2","0.07777511924049901","0.028096022726538463","0.6105145348813432","0.3802079290615183","0.3857587033917209"
"creditHours,timeComp1","2","0.09224715428071677","0.030749055972087432","0.7543793138741841","0.30193121323927796","0.3063392013421888"
"free,timeComp1","2","0.6839522053044714","0.22830630420877454","0.3829779484973922","0.47854841782906216","0.485534895675543"
"complexity,inverseBlocking,centrality","3","0.9201022167399799","0.2330804853925006","0.5799015257562006","0.4006320209308892","0.406656900676417"
"complexity,inverseBlocking,creditHours","3","0.0003791656623247759","0.00015097970251240302","0.8365339929023748","0.24991011416134748","0.2536683718800259"
"complexity,inverseBlocking,free","3","0.9828968912590921","0.24605228050643926","0.5797828923929622","0.4006885850129092","0.40671431539386876"
"complexity,centrality,creditHours","3","0.016281141921937994","0.005352966292611944","0.851939069623713","0.23784298277554675","0.2414197696889111"
"complexity,centrality,free","3","0.4358222333137026","0.17665446547635927","0.5020050217289335","0.4361969126520668","0.44275663281121136"
"complexity,creditHours,free","3","0.5565132041883997","0.15727940457566664","0.7386842507889506","0.3159751277836365","0.3207269001034097"
"blocking,delay,centrality","3","0.9201022167399817","0.2349615453760646","0.5799015257562004","0.4006320209308893","0.40665690067641713"
"blocking,delay,creditHours","3","0.0003791656623247968","0.00014979700351267964","0.836533992902375","0.24991011416134745","0.25366837188002583"
"blocking,delay,free","3","0.9828968912590913","0.2460367438576109","0.5797828923929624","0.40068858501290916","0.40671431539386865"
"blocking,centrality,creditHours","3","0.07098907901175124","0.02273633981846032","0.84195607316997","0.24573047015057414","0.2494258725525819"
"blocking,centrality,free","3","0.8399407146646818","0.3765379854538513","0.4845196345118663","0.4437886282364491","0.4504625159385472"
"blocking,creditHours,free","3","0.8934087914172635","0.2310861048333151","0.7759190942253722","0.29259879370278574","0.2969990224754377"
"delay,inverseBlocking,centrality","3","0.9201022167399759","0.23496154537606295","0.5799015257561999","0.4006320209308895","0.40665690067641735"
"delay,inverseBlocking,creditHours","3","0.0003791656623247759","0.00014979700351263378","0.8365339929023747","0.24991011416134756","0.253668371880026"
"delay,inverseBlocking,free","3","0.9828968912590871","0.24603674385760985","0.5797828923929627","0.40068858501290905","0.4067143153938686"
"delay,centrality,creditHours","3","0.009896711874314727","0.0030838333619071113","0.8551482108452393","0.23525130301045757","0.23878911510876022"
"delay,centrality,free","3","0.4442772586982423","0.14454946344587072","0.5159353418414683","0.4300528137590309","0.4365201362688585"
"delay,creditHours,free","3","0.3302618870423226","0.11024017561054002","0.7078493456633344","0.33409773959597794","0.339122047687082"
"inverseBlocking,centrality,creditHours","3","0.07098907901175124","0.02273633981846032","0.84195607316997","0.24573047015057414","0.2494258725525819"
"inverseBlocking,centrality,free","3","0.8399407146646818","0.3765379854538513","0.4845196345118663","0.4437886282364491","0.4504625159385472"
"inverseBlocking,centrality,timeComp1","3","0.20363971171466322","0.11856780982248154","0.516123888151645","0.42996905142774217","0.43643511428295684"
"inverseBlocking,creditHours,free","3","0.8934087914172635","0.2310861048333151","0.7759190942253722","0.29259879370278574","0.2969990224754377"
"inverseBlocking,creditHours,timeComp1","3","0.41745510583991574","0.12006081840759868","0.7800539316631481","0.28988664449465723","0.29424608678001607"
"inverseBlocking,free,timeComp1","3","0.16662306540158284","0.05029877245604908","0.516114014108483","0.4299734384094609","0.43643956723802746"
"centrality,creditHours,free","3","0.9634708619789466","0.2456410474817163","0.8268131286199377","0.2572335368010593","0.2611019273559185"
"centrality,creditHours,timeComp1","3","0.06855236533949759","0.01838282101874797","0.8421989412057873","0.24554158904886703","0.24923415097416662"
"centrality,free,timeComp1","3","0.2138078472049775","0.08871106075620555","0.515162506883346","0.4303959779324146","0.4368684610953342"
"creditHours,free,timeComp1","3","0.8780014274319616","0.254911957679986","0.7545494201341261","0.3062331043312208","0.3108383718368193"
"complexity,inverseBlocking,centrality,creditHours","4","0.26377206370181344","0.07078507087894602","0.8573379668285386","0.23697732825985626","0.24065161447638686"
"complexity,inverseBlocking,centrality,free","4","0.9643622490128163","0.3798377950241262","0.5799269378415699","0.40664460099337574","0.41294954443850634"
"complexity,inverseBlocking,creditHours,free","4","0.7003462186565519","0.14028270694001277","0.8372643895100407","0.25310101861189255","0.25702529943193697"
"complexity,centrality,creditHours,free","4","0.670357392719159","0.13849618381004325","0.8527475496382093","0.24075973656801655","0.2444926682710754"
"blocking,delay,centrality,creditHours","4","0.4766468523997815","0.11336002861853947","0.8573379668285384","0.2369773282598564","0.24065161447638703"
"blocking,delay,centrality,free","4","0.9643622490129912","0.382157564312133","0.57992693784157","0.4066446009933756","0.4129495444385063"
"blocking,delay,creditHours,free","4","0.700346218656551","0.14028121047818223","0.8372643895100409","0.2531010186118924","0.25702529943193686"
"blocking,centrality,creditHours,free","4","0.600648533855519","0.13646459444555686","0.8432575996867424","0.24839671085426895","0.2522480523206669"
"delay,inverseBlocking,centrality,creditHours","4","0.4766468523993235","0.11336002861843697","0.8573379668285385","0.23697732825985635","0.24065161447638694"
"delay,inverseBlocking,creditHours,free","4","0.7003462186565508","0.14028121047818212","0.8372643895100409","0.25310101861189244","0.25702529943193686"
"delay,centrality,creditHours,free","4","0.7537851282975696","0.15355590592105436","0.8555787514582832","0.23843397652092127","0.24213084777825417"
"inverseBlocking,centrality,creditHours,free","4","0.600648533855519","0.13646459444555686","0.8432575996867424","0.24839671085426895","0.2522480523206669"
"inverseBlocking,centrality,creditHours,timeComp1","4","0.5746286301046387","0.22756597223734776","0.843690977510569","0.24805307652472397","0.25189909000937005"
"inverseBlocking,centrality,free,timeComp1","4","0.12140635627298388","0.07776101048112077","0.5489173703292795","0.42138652724177855","0.42792004131354827"
"inverseBlocking,creditHours,free,timeComp1","4","0.555025733103389","0.18737087737852093","0.7823517063441479","0.29270505826836896","0.29724339182542947"
"centrality,creditHours,free,timeComp1","4","0.2965133809210545","0.06699806834030816","0.8472436487996275","0.24521793579979598","0.24901999099288724"
"complexity,inverseBlocking,centrality,creditHours,free","5","0.9381010268370927","0.22655309445116437","0.8573648472469882","0.24062894158754375","0.24447924913231583"
"blocking,delay,centrality,creditHours,free","5","0.9381010268371325","0.2628769575585747","0.857364847246988","0.24062894158754394","0.244479249132316"
"delay,inverseBlocking,centrality,creditHours,free","5","0.938101026837237","0.26287695755853413","0.8573648472469881","0.2406289415875439","0.24447924913231595"
"inverseBlocking,centrality,creditHours,free,timeComp1","5","0.7547039863328155","0.24312193529111056","0.8477082364171896","0.24864102245078307","0.2526195314296533"
