name,complexity,delay,blocking,creditHours,free,timeComp1,timeComp2,inverseBlocking,inverseDelay,centrality,gradRate8,gradRate10,gradRate12,averageTTD
HCM-Clinical - 70.json,169,115,54,138,24,667,399,54,101,118,0,0.49,0.96,0
Management - 185.json,150,98,52,131,29,481,328,52,92,133,0,0.57,0.96,0
Integrated Supply Management - 184.json,145,94,51,129,32,520,340,51,92,123,0,0.56,0.96,0
Mechanical Engineering - 165.json,400,233,167,128,17,1394,603,167,196,625,0.02,0.53,0.91,5.0e-324
Electrical Engineering - 192.json,371,221,150,127,19,1317,552,150,183,490,0,0.38,0.84,0
Engineering Design and Technology - 162.json,141,95,46,127,27,536,340,46,95,100,0.03,0.69,0.98,2.46274097e-314
Civil Engineering - 191.json,334,207,127,126,20,1231,528,127,175,404,0.01,0.49,0.9,2.499588623e-314
Early Childhood Education - 189.json,155,101,54,126,26,734,337,54,94,129,0.03,0.66,0.97,0
Nursing - 177.json,256,134,122,125,20,1076,393,122,154,598,0.01,0.27,0.71,0
Computer Information Systems - 183.json,155,102,53,124,30,547,346,53,107,142,0.06,0.79,0.99,0
Accountancy - 178.json,177,115,62,123,28,717,383,62,108,174,0.07,0.8,0.99,0
Behavior Science - 120.json,148,107,41,123,23,560,326,41,94,117,0.06,0.78,0.99,4.0e-323
Biology - 44.json,181,125,56,123,31,527,367,56,116,83,0.03,0.73,0.98,10.668
Chemical Engineering - 48.json,437,257,180,123,25,1570,660,180,217,669,0.02,0.45,0.84,11.9032
Chemistry and Biochemistry - 32.json,190,114,76,123,5,978,339,76,99,255,0.05,0.65,0.95,0
Criminal Justice - 181.json,73,61,12,123,31,299,252,12,57,21,0.07,0.8,0.99,0
"Film, Vedio and Media - 124.json",66,52,14,123,30,244,225,14,51,30,0.03,0.74,0.99,5.0e-324
General Psychology - 129.json,75,60,15,123,31,268,254,15,58,34,0.05,0.77,0.99,2.6181591822809e-310
Organizational Communication - 117.json,66,52,14,123,30,244,225,14,51,30,0.02,0.75,0.98,0
Public Relations - 125.json,78,60,18,123,29,306,250,18,57,39,0.04,0.73,0.98,5.0e-324
Sales and Business - 114.json,108,77,31,123,26,454,288,31,80,72,0.05,0.76,0.99,1.4e-322
Computer Science - 164.json,72,58,14,122,29,319,249,14,54,31,0.08,0.8,0.99,2.50E+262
Finance - 180.json,164,106,58,122,28,655,363,58,103,157,0.04,0.77,0.98,2.4693784927e-314
Graph Design - 173.json,164,101,63,122,25,639,344,63,106,166,0.06,0.74,0.97,5.0e-324
Human Resource Management - 118.json,72,59,13,122,33,282,252,13,58,30,0.11,0.85,0.99,2.77248e-318
Interdisciplinary Health Services - 193.json,65,54,11,122,31,307,234,11,53,17,0.1,0.83,0.99,0
Marketing - 182.json,150,96,54,122,29,616,353,54,97,141,0.06,0.78,0.98,0
Music Therapy - 174.json,136,100,36,122,43,474,362,36,92,117,0.13,0.86,0.99,2.4646357313e-314
BBA Accounting - 21.json,166,106,60,120,21,705,347,60,113,150,0.15,0.87,0.99,0
BS Biochemistry - 47.json,212,144,68,120,27,671,384,68,129,142,0.08,0.79,0.98,10.5408
Geography - 43.json,52,48,4,120,37,198,225,4,48,9,0.09,0.83,0.99,5.05943e-319
Mathematics - 42.json,121,89,32,120,28,428,293,32,79,103,0.1,0.82,0.99,10.376
Applied Baccalaureate - 83.json,155,104,51,118,17,569,328,51,106,110,0.07,0.74,0.97,0
Biomedical Sciences - 143.json,296,198,98,115,17,1112,470,98,182,324,0.18,0.8,0.98,0
HCM-RDSC - 71.json,140,93,47,115,22,559,328,47,92,97,0.25,0.91,1,3.923e-321
Exercise Science - 156.json,149,102,47,114,23,533,313,47,90,149,0.26,0.89,0.99,5.0e-324
Music Theatre Performance - 158.json,128,89,39,111,30,590,308,39,94,114,0.14,0.78,0.97,2.5181422265e-314
BFA Dance - 172.json,79,67,12,101,42,318,280,12,69,29,0.65,0.98,1,6.0e-323